"CONTEXTE";"MATRICE1";"REGION";"SECTEUR";"MOIS";"clust.num"
"2022LSAL03081";"Surveillance";"Dindes";"Bretagne";"Santé et production animales";"06";1
"2022LSAL02901";"Surveillance";"Viande porcine";"Auvergne Rhone Alpes";"Alimentation humaine";"05";2
"2022LSAL02888";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"05";3
"2022LSAL02865";"Contrôle autorité (national)";"Volailles, non précisé";"DOM";"Santé et production animales";"05";4
"2022LSAL02853";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"04";5
"2022LSAL02838";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"05";3
"2022LSAL02837";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"05";3
"2022LSAL02836";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"05";3
"2022LSAL02600";"Surveillance";"Aliments pour animaux, non précisé";"Hauts de France";"Alimentation animale";"04";6
"2022LSAL02392";"Surveillance";"Viande porcine";"Grand Est";"Alimentation humaine";"05";7
"2022LSAL02304";"Programmes de contrôle et d'éradication";"Gallus gallus";"Bretagne";"Santé et production animales";"05";8
"2022LSAL02287";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"04";5
"2022LSAL02285";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"04";5
"2022LSAL02186";"Etudes cliniques";"Bovins";"Normandie";"Santé et production animales";"04";9
"2022LSAL02184";"Surveillance";"non spécifié";"Bretagne";"Eco-système";"03";10
"2022LSAL02180";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"04";11
"2022LSAL02177";"Etudes cliniques";"Bovins";"Grand Est";"Santé et production animales";"04";12
"2022LSAL02175";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"04";13
"2022LSAL02174";"Surveillance";"Viande de canard";"Occitanie";"Alimentation humaine";"04";13
"2022LSAL02106";"Surveillance";"Viande porcine";NA;"Alimentation humaine";"04";5
"2022LSAL02097";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"03";14
"2022LSAL02096";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"02";15
"2022LSAL02027";"Surveillance";"Viande porcine";NA;"Alimentation humaine";"03";14
"2022LSAL01966";"Surveillance";"Viande porcine";"Pays de la Loire";"Alimentation humaine";"03";16
"2022LSAL01963";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"02";15
"2022LSAL01962";"Surveillance";"Viande porcine";"Bretagne";"Alimentation humaine";"01";17
"2022LSAL01883";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"03";18
"2022LSAL01874";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"02";19
"2022LSAL01871";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"02";19
"2022LSAL01858";"Surveillance";"Solipèdes, domestique";"Nouvelle Aquitaine";"Santé et production animales";"03";20
"2022LSAL01852";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"02";21
"2022LSAL01830";"Surveillance";"Porcs";"Grand Est";"Santé et production animales";"02";22
"2022LSAL01828";"Alerte Produit";"Autres produits alimentaires transformés et plats préparés";"Bourgogne Franche Comte";"Alimentation humaine";"02";23
"2022LSAL01819";"Etudes cliniques";"Oiseaux sauvages";"Auvergne Rhone Alpes";"Santé et production animales";"01";24
"2022LSAL01818";"Etudes cliniques";"Bovins";"Auvergne Rhone Alpes";"Santé et production animales";"01";25
"2022LSAL01784";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"01";26
"2022LSAL01776";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"12";27
"2022LSAL01774";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"12";27
"2022LSAL01773";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"12";28
"2022LSAL01750";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"02";19
"2022LSAL01749";"Surveillance";"Gallus gallus";"DOM";"Santé et production animales";"02";19
"2022LSAL00662";"Surveillance";"Lait de vache";"Auvergne Rhone Alpes";"Alimentation humaine";"02";29
"2022LSAL00324";"Surveillance";"animaux  d'élevage";"Bretagne";"Santé et production animales";"02";30
"2022LSAL00314";"Programmes de contrôle et d'éradication";"Gallus gallus";"DOM";"Santé et production animales";"02";21
"2022LSAL00284";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"01";31
"2022LSAL00283";"Surveillance";"Viande porcine";"Provence Alpes Cote d Azur";"Alimentation humaine";"01";31
"2022LSAL00273";"Etudes cliniques";"Bovins";"Normandie";"Santé et production animales";"01";32
"2022LSAL00272";"Etudes cliniques";"Bovins";"Normandie";"Santé et production animales";"01";32
"2022LSAL00271";"Etudes cliniques";"Bovins";"Normandie";"Santé et production animales";"01";32
"2022LSAL00263";"Surveillance";"Viande de dinde";"Nouvelle Aquitaine";"Alimentation humaine";"01";33
"2022LSAL00253";"Enquête";"Volailles, non précisé";"Auvergne Rhone Alpes";"Santé et production animales";"01";34
"2022LSAL00180";"Surveillance";"Légumes";"Occitanie";"Alimentation humaine";"01";35
